Time,Vessel East,Vessel North,Vessel Latitude,Vessel Longitude,Vessel Height,Vessel Gyro,ROV East,ROV North,ROV Latitude,ROV Longitude,ROV Height,ROV Gyro
10:54:32.218,  545356.9991,7038514.8405, 63.472114, 9.910206, 40.7942,  173.9500,  545203.8722,7038492.3452, 63.471931, 9.907128, -133.2790,  185.6800
10:54:33.219,  545356.9966,7038514.8400, 63.472114, 9.910206, 40.7942,  173.8900,  545203.8943,7038492.1265, 63.471929, 9.907128, -133.3040,  185.5900
10:54:34.220,  545356.9965,7038514.8393, 63.472114, 9.910206, 40.8042,  173.8600,  545203.6848,7038491.9955, 63.471928, 9.907124, -133.0860,  184.8800
10:54:35.220,  545356.9978,7038514.8398, 63.472114, 9.910206, 40.8042,  173.8400,  545203.7722,7038491.7057, 63.471925, 9.907125, -133.2230,  184.7700
10:54:36.220,  545357.0000,7038514.8409, 63.472114, 9.910206, 40.8042,  173.8100,  545203.7952,7038491.7644, 63.471926, 9.907126, -133.3090,  185.1700
10:54:37.221,  545357.0029,7038514.8417, 63.472114, 9.910206, 40.7842,  173.7500,  545203.6060,7038491.4321, 63.471923, 9.907122, -133.0980,  186.0600
10:54:38.221,  545357.0064,7038514.8427, 63.472114, 9.910207, 40.7642,  173.7100,  545203.6161,7038491.3975, 63.471923, 9.907122, -133.0980,  188.6000
10:54:39.221,  545357.0110,7038514.8445, 63.472114, 9.910207, 40.7642,  173.6800,  545203.5079,7038491.8700, 63.471927, 9.907120, -133.1860,  190.9500
10:54:40.222,  545357.0164,7038514.8465, 63.472114, 9.910207, 40.7542,  173.6400,  545203.5127,7038491.5195, 63.471924, 9.907120, -133.3620,  192.8400
10:54:41.223,  545357.0226,7038514.8482, 63.472114, 9.910207, 40.7642,  173.6300,  545203.3894,7038491.9291, 63.471928, 9.907118, -133.4110,  198.1300
10:54:42.224,  545357.0285,7038514.8506, 63.472114, 9.910207, 40.7442,  173.6400,  545203.2405,7038491.8119, 63.471926, 9.907115, -133.4860,  204.9300
10:54:43.223,  545357.0340,7038514.8540, 63.472114, 9.910207, 40.7242,  173.6300,  545203.1565,7038491.9023, 63.471927, 9.907113, -133.6910,  209.4000
10:54:44.224,  545357.0398,7038514.8576, 63.472114, 9.910207, 40.7242,  173.6400,  545202.9514,7038491.8703, 63.471927, 9.907109, -133.6620,  212.8400
10:54:45.229,  545357.0447,7038514.8605, 63.472114, 9.910207, 40.7142,  173.6400,  545202.7416,7038491.4504, 63.471923, 9.907105, -133.5950,  216.1200
10:54:46.224,  545357.0464,7038514.8630, 63.472114, 9.910207, 40.7042,  173.6900,  545202.4356,7038491.9501, 63.471928, 9.907099, -133.4680,  218.9300
10:54:47.225,  545357.0443,7038514.8659, 63.472114, 9.910207, 40.7042,  173.7000,  545202.4744,7038492.0111, 63.471928, 9.907099, -133.6760,  221.1400
10:54:48.225,  545357.0390,7038514.8689, 63.472114, 9.910207, 40.6942,  173.6700,  545202.3602,7038491.9729, 63.471928, 9.907097, -133.6710,  222.9700
10:54:49.226,  545357.0323,7038514.8714, 63.472114, 9.910207, 40.6942,  173.6700,  545202.5183,7038492.0247, 63.471928, 9.907100, -133.9900,  224.3000
10:54:50.230,  545357.0248,7038514.8734, 63.472114, 9.910207, 40.6942,  173.6600,  545202.3776,7038492.0370, 63.471929, 9.907097, -133.8500,  223.5300
10:54:51.231,  545357.0170,7038514.8759, 63.472114, 9.910207, 40.7042,  173.6400,  545202.3737,7038492.6863, 63.471934, 9.907098, -133.9010,  219.3600
10:54:52.228,  545357.0092,7038514.8791, 63.472114, 9.910207, 40.6942,  173.6300,  545202.3940,7038492.4782, 63.471933, 9.907098, -133.7890,  211.4900
10:54:53.231,  545357.0010,7038514.8822, 63.472114, 9.910206, 40.6842,  173.6300,  545202.5821,7038492.6054, 63.471934, 9.907102, -133.7860,  203.6300
10:54:54.231,  545356.9926,7038514.8842, 63.472114, 9.910206, 40.6742,  173.6300,  545202.7012,7038492.9179, 63.471936, 9.907104, -133.6900,  198.0900
10:54:55.230,  545356.9854,7038514.8858, 63.472114, 9.910206, 40.6842,  173.6000,  545202.9794,7038493.1993, 63.471939, 9.907110, -133.8590,  193.5800
10:54:56.235,  545356.9801,7038514.8878, 63.472114, 9.910206, 40.6842,  173.5800,  545202.9434,7038493.4393, 63.471941, 9.907109, -133.6700,  188.0600
